"Czas","IP","Akcja","Typ","Kraj","Miasto","ISP","Liczba_prob","Jail"
"2026-07-07 01:00","102.54.246.130","banned","Brute force SSH","Morocco","Rabat","Casa Marrakech 4G MarocTelecom","5","sshd"
"2026-07-07 01:00","103.163.117.83","banned","Brute force SSH","Bangladesh","Dhaka","Moghbazar Dot","5","sshd"
"2026-07-07 01:00","106.38.205.224","banned","Brute force SSH","China","Beijing","IDC, China Telecommunications Corporation","5","sshd"
"","85.95.166.40","unbanned","","","","","","sshd"
"","88.198.188.142","unbanned","","","","","","sshd"
"","92.118.39.50","unbanned","","","","","","sshd"
"","92.118.39.71","unbanned","","","","","","sshd"
"","92.118.39.77","unbanned","","","","","","sshd"
"","175.205.103.66","unbanned","","","","","","sshd"
"","138.197.164.175","unbanned","","","","","","sshd"
"","14.103.104.36","unbanned","","","","","","sshd"
"","103.186.31.66","unbanned","","","","","","sshd"
"","157.15.67.253","unbanned","","","","","","sshd"
"","36.66.16.233","unbanned","","","","","","sshd"
"","175.6.36.228","unbanned","","","","","","sshd"
"","154.70.102.114","unbanned","","","","","","sshd"
"","60.250.246.239","unbanned","","","","","","sshd"
"","106.12.240.38","unbanned","","","","","","sshd"
"2026-07-07 06:31","101.36.107.233","banned","Brute force SSH","Hong Kong","Hong Kong","UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED","5","sshd"
"2026-07-07 06:31","102.54.246.130","banned","Brute force SSH","Morocco","Rabat","Casa Marrakech 4G MarocTelecom","5","sshd"
"2026-07-07 06:31","1.2.3.4","banned","Skan .env / path traversal","Australia","South Brisbane","Resource Quality Assurance","0","sshd"
"2026-07-07 06:31","103.163.117.83","banned","Brute force SSH","Bangladesh","Dhaka","Moghbazar Dot","5","sshd"
"2026-07-07 06:31","103.186.31.66","banned","Brute force SSH","Indonesia","Ciampea","CV Andhika Pratama Sanggoro","5","sshd"
"2026-07-07 06:31","106.12.240.38","banned","Brute force SSH","China","Wuhan","Beijing Baidu Netcom Science and Technology Co., Ltd.","8","sshd"
"2026-07-07 06:31","106.38.205.224","banned","Brute force SSH","China","Beijing","IDC, China Telecommunications Corporation","5","sshd"
"2026-07-07 06:31","135.235.138.43","banned","Brute force SSH","India","Pune","MICROSOFT","5","sshd"
"2026-07-07 06:31","138.197.164.175","banned","Brute force SSH","Canada","Toronto","DigitalOcean, LLC","5","sshd"
"2026-07-07 06:31","14.103.104.36","banned","Brute force SSH","China","Beijing","BITNET","5","sshd"
"2026-07-07 06:31","152.32.182.41","banned","Brute force SSH","United States","Reston","UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED","5","sshd"
"2026-07-07 06:31","154.70.102.114","banned","Brute force SSH","Cameroon","Douala","MTN Network Solutions (Cameroon)","5","sshd"
"2026-07-07 06:31","154.90.70.254","banned","Brute force SSH","Russia","Moscow","Cloud Innovation","5","sshd"
"2026-07-07 06:31","157.10.182.14","banned","Brute force SSH","Indonesia","South Tangerang","PT Linea Global Teknologi","5","sshd"
"2026-07-07 06:31","157.15.67.253","banned","Brute force SSH","Indonesia","Tulungagung","PT Trimitra Aditama Koneksindo","5","sshd"
"2026-07-07 06:31","172.188.89.41","banned","Brute force SSH","Singapore","Singapore","Microsoft","5","sshd"
"2026-07-07 06:31","175.205.103.66","banned","Brute force SSH","South Korea","Cheongju-si","Korea Telecom","5","sshd"
"2026-07-07 06:31","175.6.36.228","banned","Brute force SSH","China","Shanghai","No.293, Wanbao Avenue","5","sshd"
"2026-07-07 06:31","179.176.210.17","banned","Brute force SSH","Brazil","Conselheiro Lafaiete","TELEFÔNICA BRASIL S.A","5","sshd"
"2026-07-07 06:31","182.18.161.165","banned","Brute force SSH","India","Hyderabad","CtrlS","5","sshd"
"2026-07-07 06:31","185.249.74.198","banned","Brute force SSH","United Kingdom","London","IONOS SE","5","sshd"
"2026-07-07 06:31","186.103.169.12","banned","Brute force SSH","Chile","San Bernardo","Telefonica Empresas","5","sshd"
"2026-07-07 06:31","189.190.244.176","banned","Brute force SSH","Mexico","Puebla City","UNINET","5","sshd"
"2026-07-07 06:31","190.115.84.25","banned","Brute force SSH","Brazil","Leopoldo de Bulhões","J Riva Junior Eletronics ME","5","sshd"
"2026-07-07 06:31","190.181.44.194","banned","Brute force SSH","Bolivia","Cochabamba","AXS Bolivia S. A.","5","sshd"
"2026-07-07 06:31","20.13.164.162","banned","Brute force SSH","Ireland","Dublin","Microsoft Corporation","5","sshd"
"2026-07-07 06:31","202.152.201.166","banned","Brute force SSH","Indonesia","Astanajapura","PT. Bakrie Telecom Tbk","5","sshd"
"2026-07-07 06:31","203.154.158.195","banned","Brute force SSH","Thailand","Vadhana","Internet Thailand Company Ltd.","5","sshd"
"2026-07-07 06:31","207.154.250.9","banned","Brute force SSH","Germany","Frankfurt am Main","DigitalOcean, LLC","5","sshd"
"2026-07-07 06:31","217.154.42.110","banned","Brute force SSH","United Kingdom","Worcester","MISTRAL","5","sshd"
